store_id,store_address,product_id,sku_id,master_product_id,name,trademark,presentation,price,in_stock,category_name,cold_beer
166964,,1074392829,166964_1074392829,94687,Rabieta Cerveza Golden Ale,Rabieta,1 X 473 mL,3247.2,True,Cervezas,False
166964,,2114887563,166964_2114887563,830900,Cerveza Brahma 710 mL,Brahma,710 mL,3016.3,True,Cervezas,False
166964,,2114967292,166964_2114967292,234919,Peroni Cerveza,Peroni,1 X 330 mL,3771.75,True,Cervezas,False
166964,,2533062,166964_2533062,156784,Imperial Cerveza Ligera Golden,Imperial,1 X 473 mL,3589,True,Cervezas,False
166964,,2114564915,166964_2114564915,128218,Starberg Cerveza Lager,Sol,1 X 500 mL,1934.25,True,Cervezas,False
166964,,2114481639,166964_2114481639,763757,Cerveza Patagonia Lager Del Sur 730 cc,Patagonia,1 X 730 mL,5879.25,True,Cervezas,False
166964,,2114434307,166964_2114434307,688392,Antares Cerveza Lager,Antares,1 x 473 mL,4079,True,Cervezas,False
166964,,2114481637,166964_2114481637,763756,Cerveza Patagonia Lager Del Sur 473 cc,Patagonia,1 X 473 mL,4289.25,True,Cervezas,False
166964,,2115129133,166964_2115129133,998321,Ipa Cerveza Antares Especiales Sin Alcohol,,1 x 473 mL,6779,True,Cervezas,False
166964,,2114833047,166964_2114833047,41331,Santa Fe Cerveza Rubia,Blonde,1 X 473 mL,2899,True,Cervezas,False
166964,,2114629949,166964_2114629949,532515,Grolsch Cerveza Ipa,Grolsch,1 X 473 mL,3073.85,True,Cervezas,False
166964,,2114897271,166964_2114897271,25531,Bitburger Cerveza,Bitburger,1 X 330 mL,4949,True,Cervezas,False
166964,,1074485096,166964_1074485096,170987,Salta Cautiva Cerveza Rubia,Salta,1 X 473 mL,3519,True,Cervezas,False
166964,,1074392833,166964_1074392833,81936,Antares Kolsch Cerveza ,Antares,1 X 473 mL,4859,True,Cervezas,False
166964,,2482831,166964_2482831,193507,Warsteiner Cerveza Rubia,Warsteiner,1 X 473 mL,4009,True,Cervezas,False
166964,,1074392827,166964_1074392827,29240,Rabieta Cerveza American Ipa,Rabieta,1 X 473 mL,2735.4,True,Cervezas,False
166964,,1074739728,166964_1074739728,364118,Imperial Golden Lata 710ml,Imperial,1 X 710 mL,5079,True,Cervezas,False
166964,,2114579895,166964_2114579895,28703,Bitburger Cerveza,Bitburger,1 X 500 mL,5649,True,Cervezas,False
166964,,2114566586,166964_2114566586,720312,Konig Cerveza Lata,Pilsener Konign,1 x 500 mL,5129,True,Cervezas,False
166964,,2115151512,166964_2115151512,53387,Estrella Damm Cerveza,Estrella Damm,1 X 500 mL,2447.1,True,Cervezas,False
166964,,1074392819,166964_1074392819,91592,Cerveza Kunstmann Session Ipa 470ml,Kunstmann,1 X 470 mL,5029,True,Cervezas,False
166964,,2114926558,166964_2114926558,953712,Cerveza Lager Estrella Del Sur Lata,,500 mL,1313.1,True,Cervezas,False
166964,,2482879,166964_2482879,606296,Amstel Cerveza Lager Pura Malta ,Amstel,1 X 473 mL,2331.75,False,Cervezas,False
166964,,2114019305,166964_2114019305,626222,Blue Moon Belgian White Lata 473 ml,Blue Moon,1 x 473 mL,5299,False,Cervezas,False
166964,,2482864,166964_2482864,354820,Cerveza Patagonia Bohemian 473 cc,Patagonia,1 X 473 mL,5099.25,False,Cervezas,False
166964,,2114135345,166964_2114135345,616534,Cerveza Goose Island Lager 473 cc,Goose Island,1 x 473 mL,4109,False,Cervezas,False
166964,,1074392806,166964_1074392806,271120,Sol Cerveza Rubia Original ,Sol,1 X 473 mL,2549,False,Cervezas,False
166964,,2533055,166964_2533055,433532,Cerveza Temple Wolf Ipa 473 cc,Temple,1 X 473 mL,4236.75,False,Cervezas,False
166964,,2112096354,166964_2112096354,478065,Cerveza Corona 410 cc,Corona,1 X 410 mL,6439,False,Cervezas,False
166964,,2114013445,166964_2114013445,522389,Heineken Cerveza sin Alcohol,Heineken Cero,1 X 355 mL,2369,False,Cervezas,False
166964,,2114272855,166964_2114272855,0,6 x Sixpack Heineken Cerveza,,,27714,True,Cervezas,False
166964,,2114272833,166964_2114272833,0,6 x Andes Cerveza Rubia Origen Mendocina,,,16555.5,True,Cervezas,False
166964,,2114272846,166964_2114272846,0,6 x Sixpack Michelob Ultra,,,11588.4,True,Cervezas,False
166964,,2114272827,166964_2114272827,0,6 x Andes Cerveza Ipa Origen Mendocina,,,11337,True,Cervezas,False
166964,,2114633462,166964_2114633462,0,6 x Stella Artois Porrón 330 mL,,,13527,True,Cervezas,False
166964,,2114272837,166964_2114272837,0,6 x Stella Artois Cerveza Rubia,,,19840.5,True,Cervezas,False
166964,,2114641631,166964_2114641631,0,6 x Heineken Rubia 710 mL,,,35388.9,True,Cervezas,False
166964,,2114272836,166964_2114272836,0,6 x Budweiser Cerveza Rubia,,,11840.4,True,Cervezas,False
166964,,2114633690,166964_2114633690,0,6 x Miller Rubia 330 mL,,,25902,True,Cervezas,False
166964,,2114641636,166964_2114641636,0,6 x Blue Moon Belgian White 355 mL,,,35334,True,Cervezas,False
166964,,2114272830,166964_2114272830,0,6 x Andes Cerveza Roja Origen Mendocina,,,16465.5,True,Cervezas,False
